pressure[Pa] solidus[K] liquidus[K]
2.980000000000000000e+11 6.832867728439945495e+03 7.508501284434587433e+03
2.990000000000000000e+11 6.848823072522669463e+03 7.526090962199747082e+03
3.000000000000000000e+11 6.864778414246178727e+03 7.543680796449665650e+03
3.010000000000000000e+11 6.880733752677040684e+03 7.561270787087587451e+03
3.020000000000000000e+11 6.896689087607552210e+03 7.578860933728461532e+03
3.030000000000000000e+11 6.912644419160308644e+03 7.596451235928112510e+03
3.040000000000000000e+11 6.928599747447860864e+03 7.614041693349353409e+03
3.050000000000000000e+11 6.944555072561861380e+03 7.631632305668207664e+03
3.060000000000000000e+11 6.960510394540973721e+03 7.649223072584146394e+03
3.070000000000000000e+11 6.976465713395818966e+03 7.666813993731300798e+03
3.080000000000000000e+11 6.992421029151051698e+03 7.684405068394929913e+03
3.090000000000000000e+11 7.008376341852399491e+03 7.701996295744198505e+03
3.100000000000000000e+11 7.024331651561811668e+03 7.719587675255869726e+03
3.110000000000000000e+11 7.040286958506009796e+03 7.737179206802026783e+03
3.120000000000000000e+11 7.056242263587510024e+03 7.754770889876691399e+03
3.130000000000000000e+11 7.072197567291097585e+03 7.772362724102080392e+03
3.140000000000000000e+11 7.088152869909326910e+03 7.789954708966203725e+03
3.150000000000000000e+11 7.104108172113977162e+03 7.807546843793757944e+03
3.160000000000000000e+11 7.120063474538296759e+03 7.825139127780095805e+03
3.170000000000000000e+11 7.136018777777915602e+03 7.842731560607936444e+03
3.180000000000000000e+11 7.151974082396213817e+03 7.860324142603840301e+03
3.190000000000000000e+11 7.167929389098311731e+03 7.877916874118865962e+03
3.200000000000000000e+11 7.183884698571900117e+03 7.895509755471111930e+03
3.210000000000000000e+11 7.199840011395679539e+03 7.913102786900876708e+03
3.220000000000000000e+11 7.215795327480979722e+03 7.930695968592395730e+03
3.230000000000000000e+11 7.231750646344296001e+03 7.948289300534967879e+03
3.240000000000000000e+11 7.247705967488363058e+03 7.965882782368365952e+03
3.250000000000000000e+11 7.263661290390853537e+03 7.983476413488211620e+03
3.260000000000000000e+11 7.279616614519984068e+03 8.001070193569858930e+03
3.270000000000000000e+11 7.295571939354927054e+03 8.018664122214999225e+03
3.280000000000000000e+11 7.311527264378072687e+03 8.036258198963440009e+03
3.290000000000000000e+11 7.327482588791410308e+03 8.053852423299419570e+03
3.300000000000000000e+11 7.343437911487689234e+03 8.071446794656520979e+03
3.310000000000000000e+11 7.359393231804378047e+03 8.089041312652979286e+03
3.320000000000000000e+11 7.375348550017244634e+03 8.106635977077819916e+03
3.330000000000000000e+11 7.391303866988463596e+03 8.124230787671694088e+03
3.340000000000000000e+11 7.407259183556178868e+03 8.141825744077127638e+03
3.350000000000000000e+11 7.423214500533395949e+03 8.159420845843152165e+03
3.360000000000000000e+11 7.439169818711312473e+03 8.177016092435676910e+03
3.370000000000000000e+11 7.455125138857392812e+03 8.194611482987682393e+03
3.380000000000000000e+11 7.471080461715763704e+03 8.212207017096428899e+03
3.390000000000000000e+11 7.487035788010099168e+03 8.229802695028609378e+03
3.400000000000000000e+11 7.502991118437949808e+03 8.247398516890800238e+03
3.410000000000000000e+11 7.518946453678433500e+03 8.264994482670219440e+03
3.420000000000000000e+11 7.534901794044543749e+03 8.282590592272690628e+03
3.430000000000000000e+11 7.550857138813084021e+03 8.300186845546561017e+03
3.440000000000000000e+11 7.566812487089360729e+03 8.317783242406507270e+03
3.450000000000000000e+11 7.582767837854015852e+03 8.335379782953355971e+03
